question,qa_type,found_rank,mrr_score,bertscore_f1,contextual_precision,hallucination_fraction,generated_answer
What is artificial intelligence (AI)?,,1,1.0,0.7162199318408966,0.04044117647058824,0.9857142857142858,The capability of computational systems to perform tasks typically associated with human intelligence
In which year was AI founded as an academic discipline?,,2,0.5,0.5474809035658836,0.0,1.0,1956
What are AI winters?,,1,1.0,0.7118344604969025,0.015254237288135594,1.0,periods of disappointment and loss of funding
Which hardware greatly boosted AI after 2012?,,2,0.5,0.6231133192777634,0.0,1.0,unanswerable
What architecture accelerated AI progress after 2017?,,1,1.0,0.6319345831871033,0.004901960784313725,0.967741935483871,the transformer architecture
What is supervised learning?,,2,0.5,0.7071887403726578,0.008333333333333333,1.0,Supervised learning algorithms build a mathematical model of a set of data that contains both the inputs and the desired output
What is unsupervised learning?,,2,0.5,0.6779413223266602,0.0054249547920434,1.0,"find structures in data that has not been labelled, classified or categorised. Instead of responding to feedback, unsupervised learning algorithms identify commonalities and react based on the presence or absence of such commonalities"
What is reinforcement learning based on?,,1,1.0,0.6255638003349304,0.008561643835616438,1.0,rewarded for good responses and punished for bad ones
What are hallucinations in GPT models?,,1,1.0,0.6430035829544067,0.006779661016949152,1.0,"generating falsehoods called ""hallucinations"
What technique reduces hallucinations?,,4,0.25,0.5786127299070358,0.0017211703958691911,1.0,unanswerable
Which is older as a discipline: AI or machine learning?,,3,0.3333333333333333,0.8214201331138611,0.006309148264984227,1.0,machine learning
Are GPUs or CPUs dominant for large-scale ML training today?,,3,0.3333333333333333,0.6706189513206482,0.001639344262295082,1.0,"graphics processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale (commercial and academic) machine learning"
Is domestic or international trade typically more costly?,,1,1.0,0.7539931833744049,0.0032258064516129032,0.9705882352941176,"international trade is, in principle, not different from domestic trade as the motivation and the behavior of parties involved in a trade do not change fundamentally"
