question,qa_type,primary_label,labels,found_rank,bertscore_f1,contextual_precision,hallucination_fraction,generated_answer
What is artificial intelligence (AI)?,category,context,context,1,0.7162199318408966,0.04044117647058824,0.9857142857142858,The capability of computational systems to perform tasks typically associated with human intelligence
In which year was AI founded as an academic discipline?,category,context,"context,generation",2,0.5474809035658836,0.0,1.0,1956
What are AI winters?,category,context,context,1,0.7118344604969025,0.015254237288135594,1.0,periods of disappointment and loss of funding
Which hardware greatly boosted AI after 2012?,category,context,context,2,0.6231133192777634,0.0,1.0,unanswerable
What architecture accelerated AI progress after 2017?,category,context,context,1,0.6319345831871033,0.004901960784313725,0.967741935483871,the transformer architecture
What is supervised learning?,category,context,context,2,0.7071887403726578,0.008333333333333333,1.0,Supervised learning algorithms build a mathematical model of a set of data that contains both the inputs and the desired output
What is unsupervised learning?,category,context,context,2,0.6779413223266602,0.0054249547920434,1.0,"find structures in data that has not been labelled, classified or categorised. Instead of responding to feedback, unsupervised learning algorithms identify commonalities and react based on the presence or absence of such commonalities"
What is reinforcement learning based on?,category,context,context,1,0.6255638003349304,0.008561643835616438,1.0,rewarded for good responses and punished for bad ones
What are hallucinations in GPT models?,category,context,context,1,0.6430035829544067,0.006779661016949152,1.0,"generating falsehoods called ""hallucinations"
What technique reduces hallucinations?,category,context,context,4,0.5786127299070358,0.0017211703958691911,1.0,unanswerable
Which is older as a discipline: AI or machine learning?,category,context,context,3,0.8214201331138611,0.006309148264984227,1.0,machine learning
Are GPUs or CPUs dominant for large-scale ML training today?,category,context,context,3,0.6706189513206482,0.001639344262295082,1.0,"graphics processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale (commercial and academic) machine learning"
Is domestic or international trade typically more costly?,category,context,context,1,0.7539931833744049,0.0032258064516129032,0.9705882352941176,"international trade is, in principle, not different from domestic trade as the motivation and the behavior of parties involved in a trade do not change fundamentally"
Does qualitative or quantitative research use numerical data?,category,context,context,1,0.8518584370613098,0.0035398230088495575,0.9444444444444444,"Quantitative research Quantitative research involves systematic empirical investigation of quantitative properties and phenomena and their relationships, by asking a narrow question and collecting numerical data to analyze it utilizing statistical"
Which focuses on interfaces between people and computers: HCI or computer graphics?,category,retrieval,"retrieval,context,generation",,0.5988636985421181,0.0,1.0,HCI
Why did deep learning surge after 2012?,category,context,context,4,0.6904756128787994,0.011608623548922056,1.0,TDNN was introduced in 1987 by Alex Waibel to apply CNN to phoneme recognition. It used convolutional layers and downsampling layers to classify non-linearily separable pattern classes
Why can AI systems create filter bubbles?,category,context,context,1,0.6121564507484436,0.00825082508250825,1.0,"Users also tended to watch more content on the same subject, so the AI led people into filter bubbles where they received multiple versions of the same misinformation. This convinced many users that the misinformation was true, and ultimately undermined trust"
Why is explainability important in AI?,category,context,context,2,0.6285238564014435,0.014423076923076924,1.0,humans can understand the decisions or predictions made by the AI
Why is international trade complex?,category,context,context,1,0.6873715668916702,0.013071895424836602,1.0,"cross-border trade typically incurs additional costs such as explicit tariffs as well as explicit or implicit non-tariff barriers such as time costs (due to border delays), language and cultural"
Why is computer vision linked to neurobiology?,category,context,context,1,0.7156667560338974,0.01020408163265306,1.0,the primary visual cortex
How did GPUs and big datasets together influence deep learning success?,category,context,context,2,0.7874745726585388,0.009615384615384616,1.0,increased computer power (including the hundred-fold increase in speed by switching
How do RLHF and hallucinations connect?,category,context,context,2,0.6677533984184265,0.008517887563884156,1.0,unanswerable
How do AI agents improve over time?,category,context,context,1,0.6786159574985504,0.013289036544850499,1.0,through experience or training
