question,qa_type,primary_label,labels,found_rank,bertscore_f1,contextual_precision,hallucination_fraction,generated_answer
What is artificial intelligence (AI)?,factual,context,context,1,0.7162199318408966,0.04044117647058824,0.9857142857142858,"The capability of computational systems to perform tasks associated with human intelligence such as learning, reasoning, problem-solving, perception, and decision-making."
In which year was AI founded as an academic discipline?,factual,generation,"generation,context",2,0.5474809035658836,0.0,1.0,1956.
What are AI winters?,factual,context,context,1,0.7118344604969025,0.015254237288135594,1.0,Periods of disappointment and loss of funding in AI research.
Which hardware greatly boosted AI after 2012?,factual,context,context,2,0.6231133192777634,0.0,1.0,Graphics processing units (GPUs).
What architecture accelerated AI progress after 2017?,factual,context,context,1,0.6319345831871033,0.004901960784313725,0.967741935483871,The transformer architecture.
What is supervised learning?,factual,context,context,2,0.7071887403726578,0.008333333333333333,1.0,Learning using labeled training data with expected answers.
What is unsupervised learning?,factual,context,context,2,0.6779413223266602,0.0054249547920434,1.0,Finding patterns in data without labeled guidance.
What is reinforcement learning based on?,factual,context,context,1,0.6255638003349304,0.008561643835616438,1.0,Rewarding good responses and punishing bad ones.
What are hallucinations in GPT models?,factual,context,context,1,0.6430035829544067,0.006779661016949152,1.0,Falsehoods generated by the model.
What technique reduces hallucinations?,factual,context,context,4,0.5786127299070358,0.0017211703958691911,1.0,Reinforcement learning from human feedback (RLHF).
Which is older as a discipline: AI or machine learning?,comparative,context,context,3,0.8214201331138611,0.006309148264984227,1.0,AI; machine learning grew out of AI.
Are GPUs or CPUs dominant for large-scale ML training today?,comparative,generation,"generation,context",3,0.6706189513206482,0.001639344262295082,1.0,GPUs.
Is domestic or international trade typically more costly?,comparative,context,context,1,0.7539931833744049,0.0032258064516129032,0.9705882352941176,International trade.
Does qualitative or quantitative research use numerical data?,comparative,context,context,1,0.8518584370613098,0.0035398230088495575,0.9444444444444444,Quantitative research.
Which focuses on interfaces between people and computers: HCI or computer graphics?,comparative,generation,"generation,retrieval,context",,0.5988636985421181,0.0,1.0,HCI.
Why did deep learning surge after 2012?,inferential,context,context,4,0.6904756128787994,0.011608623548922056,1.0,Because of faster computers (especially GPUs) and the availability of large datasets.
